EditorYear	EdiPercent	Cohort
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.3333333333333333	0
2	0.16666666666666666	0
3	0.0	0
4	0.5	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	1.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-3	1.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	1.0	0
3	1.0	0
4	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.25	0
3	0.0	0
4	0.14285714285714285	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.125	0
-1	0.0	0
0	0.2	0
1	0.0	0
2	0.2	0
3	0.0	0
4	0.16666666666666666	0
5	0.0	0
-5	0.5	0
-4	0.0	0
-3	0.3333333333333333	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.75	0
-5	0.3333333333333333	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.1	0
3	0.0	0
4	0.3333333333333333	0
5	0.16666666666666666	0
-5	0.0	0
-4	1.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.0	0
4	0.125	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.42857142857142855	0
5	0.3333333333333333	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.2	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.25	0
3	0.0	0
4	0.0	0
5	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.2	0
2	0.0	0
-4	0.0	0
-5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.3333333333333333	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.2727272727272727	0
-4	0.3	0
-3	0.0	0
-2	0.375	0
-1	0.0	0
0	0.0	0
1	0.18181818181818182	0
2	0.08333333333333333	0
3	0.0	0
4	0.2857142857142857	0
5	0.07142857142857142	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.2	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.5	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.25	0
3	0.0	0
4	0.0	0
5	0.2	0
-5	0.6666666666666666	0
-4	0.0	0
-3	0.4444444444444444	0
-2	0.3333333333333333	0
-1	0.42857142857142855	0
0	0.4444444444444444	0
1	0.3333333333333333	0
2	0.17391304347826086	0
3	0.1111111111111111	0
4	0.2	0
5	0.14285714285714285	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.0	0
4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.3333333333333333	0
5	0.2	0
-5	0.0	0
-4	0.5	0
-3	0.2	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	1.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.5	0
4	0.0	0
5	0.25	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.1	0
-1	0.2	0
0	0.0	0
1	0.3333333333333333	0
2	0.09090909090909091	0
3	0.2	0
4	0.0	0
5	0.6666666666666666	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.3333333333333333	0
-4	0.0	0
-3	0.0	0
-2	0.25	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.5714285714285714	0
-5	0.0	0
-4	0.3333333333333333	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.6666666666666666	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.1	0
2	0.0	0
3	0.6	0
4	0.5	0
5	0.14285714285714285	0
-5	0.0	0
-4	0.0	0
-3	0.2	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.3333333333333333	0
-4	0.2222222222222222	0
-3	0.25	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.2222222222222222	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	1.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.5	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.4	0
0	0.0	0
1	0.0	0
2	0.2	0
3	1.0	0
4	0.0	0
5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
-5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.4	0
2	0.25	0
3	0.0	0
4	0.0	0
5	0.3333333333333333	0
-5	0.0	0
-4	0.0	0
-3	0.375	0
-2	0.0	0
-1	0.15384615384615385	0
0	0.0	0
1	0.08333333333333333	0
2	0.25	0
3	0.13333333333333333	0
4	0.1	0
5	0.1111111111111111	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.125	0
2	0.0	0
3	0.25	0
4	0.16666666666666666	0
5	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.3333333333333333	0
2	0.25	0
3	0.0	0
4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
5	1.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.25	0
2	0.0	0
3	0.0	0
-5	0.0	0
-4	0.0	0
4	0.16666666666666666	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.25	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.5	0
3	0.0	0
4	0.0	0
5	0.2	0
-5	0.14285714285714285	0
-4	0.0	0
-3	0.2	0
-2	0.2857142857142857	0
-1	0.2857142857142857	0
0	0.3333333333333333	0
1	0.0	0
2	0.2857142857142857	0
3	0.125	0
4	0.0	0
5	0.16666666666666666	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.2	0
-3	0.3333333333333333	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.25	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
0	1.0	0
1	0.75	0
2	0.6	0
3	0.4	0
4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.25	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.6666666666666666	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.5	0
-2	0.0	0
-1	0.4	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.14285714285714285	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	1.0	0
5	0.0	0
-5	0.5	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.3333333333333333	0
4	0.5	0
5	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	1.0	0
3	0.0	0
4	1.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	1.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.16666666666666666	0
2	0.25	0
3	0.0	0
4	0.0	0
5	0.16666666666666666	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.3333333333333333	0
2	0.16666666666666666	0
3	0.25	0
4	0.0	0
5	0.0	0
-5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	1.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	1.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.2	0
-3	0.42857142857142855	0
-2	0.125	0
-1	0.2	0
0	0.25	0
1	0.0	0
2	0.14285714285714285	0
3	0.3333333333333333	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.5	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.5	0
5	0.0	0
-5	0.2	0
-4	0.0	0
-3	0.3333333333333333	0
-2	0.2222222222222222	0
-1	0.0	0
0	0.0	0
1	0.2	0
2	0.0	0
3	0.125	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.5	0
-1	0.2	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.0	0
4	0.5	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	1.0	0
-2	0.5	0
-1	0.5	0
0	0.0	0
1	0.0	0
2	0.5	0
3	0.0	0
4	0.0	0
5	0.0	0
-4	1.0	0
-3	0.0	0
-2	1.0	0
-1	1.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	1.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.5	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.5	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.16666666666666666	0
2	0.0	0
3	0.0	0
4	0.5	0
5	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.1111111111111111	0
-3	0.14285714285714285	0
-2	0.14285714285714285	0
-1	0.2	0
0	0.0	0
1	0.0	0
2	0.08333333333333333	0
3	0.0	0
4	0.0	0
5	0.4666666666666667	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.3333333333333333	0
4	0.3333333333333333	0
5	0.0	0
-5	0.05263157894736842	0
-4	0.28	0
-3	0.0	0
-2	0.21052631578947367	0
-1	0.05263157894736842	0
0	0.25	0
1	0.17391304347826086	0
2	0.11764705882352941	0
3	0.3	0
4	0.5333333333333333	0
5	0.3125	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.6666666666666666	0
2	1.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.3333333333333333	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.6666666666666666	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.25	0
3	0.3333333333333333	0
4	0.0	0
5	0.0	0
-5	0.2	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.2	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.5	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.3333333333333333	0
4	0.0	0
5	0.5	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	1.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.5	0
3	0.5	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.5	0
0	0.0	0
1	0.3333333333333333	0
2	0.0	0
3	1.0	0
-5	1.0	0
-4	0.0	0
-3	0.6666666666666666	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.5	0
3	0.0	0
4	0.16666666666666666	0
5	0.0	0
-5	0.5	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.3333333333333333	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.5	0
0	0.0	0
1	1.0	0
2	0.0	0
-1	0.0	0
-2	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	0.5	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-5	0.0	0
-4	0.14285714285714285	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.625	0
-1	0.3333333333333333	0
0	0.0	0
1	0.0	0
2	0.25	0
3	0.6	0
4	0.14285714285714285	0
5	0.3333333333333333	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.0	0
4	0.25	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.125	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.5	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.3333333333333333	0
-2	0.3333333333333333	0
-1	0.5	0
0	0.0	0
1	0.2857142857142857	0
2	1.0	0
3	0.0	0
4	0.2	0
5	0.09090909090909091	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.2857142857142857	0
2	0.0	0
3	0.3333333333333333	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.09090909090909091	0
0	0.0	0
1	0.2	0
2	0.0	0
3	0.3333333333333333	0
4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	1.0	0
1	0.25	0
2	0.0	0
3	0.1111111111111111	0
4	0.0	0
5	0.5	0
-5	0.0	0
-4	0.16666666666666666	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.3333333333333333	0
5	0.2	0
-5	0.0	0
-4	0.3333333333333333	0
-3	0.25	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.3333333333333333	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.0	0
-5	0.3333333333333333	0
-4	1.0	0
-3	0.3333333333333333	0
-2	0.14285714285714285	0
-1	0.3333333333333333	0
0	0.0	0
1	0.5714285714285714	0
2	0.2	0
3	0.0	0
4	0.6	0
5	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.3333333333333333	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.3333333333333333	0
4	0.5	0
5	0.3333333333333333	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.4	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.25	0
-3	0.0	0
-2	0.0	0
-1	0.14285714285714285	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.3333333333333333	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.5	0
4	0.0	0
5	0.75	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.25	0
3	0.5	0
4	0.0	0
5	0.5	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.5	0
4	0.0	0
5	1.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
-5	0.0	0
-4	0.0	0
-5	0.0	0
-4	0.0	0
-3	1.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.4	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.25	0
3	0.0	0
-4	1.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-5	0.0	0
-4	0.0	0
-3	1.0	0
-2	0.0	0
-1	0.0	0
0	0.25	0
1	0.3333333333333333	0
2	1.0	0
3	0.0	0
4	0.5	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.3333333333333333	0
2	0.2	0
3	0.4	0
4	0.0	0
5	0.0	0
-5	0.35714285714285715	0
-4	0.25	0
-3	0.2727272727272727	0
-2	0.4166666666666667	0
-1	0.26666666666666666	0
0	0.3333333333333333	0
1	0.2	0
2	0.23076923076923078	0
3	0.12	0
4	0.10526315789473684	0
5	0.23076923076923078	0
-3	0.0	0
-2	0.3333333333333333	0
-1	0.25	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	1.0	0
5	0.5	0
-4	0.5	0
-3	0.5	0
-2	0.3333333333333333	0
-1	1.0	0
0	0.0	0
1	0.0	0
2	0.42857142857142855	0
3	0.3333333333333333	0
4	0.0	0
5	0.2	0
-5	0.16666666666666666	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.16666666666666666	0
2	0.0	0
3	0.25	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	0.8333333333333334	0
3	1.0	0
4	1.0	0
5	0.8	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	1.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	1.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.25	0
-3	0.0	0
-2	0.2	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.5	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.0	0
-1	0.0	0
0	0.0	0
1	0.06666666666666667	0
2	0.125	0
3	0.14285714285714285	0
4	0.25	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
5	0.0	0
-5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.3333333333333333	0
2	0.0	0
3	0.0	0
4	0.25	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.3333333333333333	0
-2	0.25	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.5	0
5	0.3333333333333333	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.4	0
-2	0.2	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.3333333333333333	0
3	0.5	0
4	0.42857142857142855	0
5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.5	0
4	0.0	0
5	0.0	0
-5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.6666666666666666	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
0	0.0	0
1	1.0	0
2	1.0	0
3	1.0	0
4	1.0	0
5	1.0	0
-1	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.6666666666666666	0
4	0.5	0
5	0.5	0
-5	0.0	0
-4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	1.0	0
3	0.3333333333333333	0
4	0.0	0
5	0.25	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.0	0
3	0.5	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.125	0
-3	0.0	0
-2	0.2	0
-1	0.125	0
0	0.0	0
1	0.14285714285714285	0
2	1.0	0
3	0.125	0
4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.3333333333333333	0
-1	0.0	0
0	0.0	0
1	0.2	0
2	0.25	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.5	0
2	0.5	0
3	0.0	0
4	0.0	0
5	1.0	0
-5	0.0	0
-4	0.0	0
-3	0.25	0
-2	0.14285714285714285	0
-1	0.14285714285714285	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.25	0
5	0.6666666666666666	0
-5	0.0	0
-4	0.2	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	1.0	0
4	0.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.3333333333333333	0
-1	0.25	0
0	0.0	0
1	1.0	0
2	0.0	0
3	0.0	0
4	0.5	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.2	0
2	0.0	0
3	0.3333333333333333	0
4	0.2	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	1.0	0
3	0.0	0
4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.25	0
4	1.0	0
5	0.0	0
-5	0.2	0
-4	0.2857142857142857	0
-3	0.0	0
-2	0.0	0
-1	0.5	0
0	0.0	0
1	0.2	0
2	0.5	0
3	0.4	0
4	0.5	0
5	0.4	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
-3	0.0	0
2	0.1111111111111111	0
3	0.0	0
4	0.0	0
5	0.0	0
-4	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	0.0	0
5	0.5	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.0	0
4	1.0	0
5	0.0	0
-5	0.0	0
-4	0.0	0
-3	0.0	0
-2	0.0	0
-1	0.0	0
0	0.0	0
1	0.0	0
2	0.0	0
3	0.25	0
4	0.3333333333333333	0
5	0.0	0
-5	0.0	0
-4	0.5	0
-3	0.0	0
-2	0.0	0
-1	0.6666666666666666	0
0	0.0	0
1	0.16666666666666666	0
